Ubigeo;Departamento;Provincia;Distrito;Indicador;Unidad de medida;Anio 2012;Anio 2013;Anio 2014;Anio 2015;Anio 2016;Anio 2017;Anio 2018;Anio 2019;Anio 2020;Anio 2021;Anio 2022;Anio 2023
010202;AMAZONAS;BAGUA;ARAMANGO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3316;3473;3490;3523;3415;3343;3353;3282;3350;3329;3371;3365
010201;AMAZONAS;BAGUA;BAGUA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;7221;8684;8400;8297;8725;8933;8776;9387;9291;10014;10264;10679
010203;AMAZONAS;BAGUA;COPALLIN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1378;1378;1293;1272;1231;1168;1133;1091;1107;1073;981;948
010204;AMAZONAS;BAGUA;EL PARCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;268;254;288;258;238;221;247;268;264;279;281;280
010205;AMAZONAS;BAGUA;IMAZA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;12346;13671;13770;14489;15181;15683;16231;16538;16965;17588;18467;18683
010206;AMAZONAS;BAGUA;LA PECA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3120;2613;2419;2239;2237;2258;2218;2190;2247;2300;2293;2218
010302;AMAZONAS;BONGARA;CHISQUILLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;63;61;57;60;57;50;47;42;58;61;45;47
010303;AMAZONAS;BONGARA;CHURUJA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;40;44;43;48;47;48;50;51;50;52;55;52
010304;AMAZONAS;BONGARA;COROSHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;251;249;253;271;273;279;284;278;296;301;282;271
010305;AMAZONAS;BONGARA;CUISPES;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;141;140;117;108;106;97;94;75;78;76;74;69
010306;AMAZONAS;BONGARA;FLORIDA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1833;1952;1931;1948;2012;1924;2005;2029;1988;1992;1911;1746
010307;AMAZONAS;BONGARA;JAZAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3119;2836;2798;2777;2834;2871;2706;2766;2805;2799;2788;2779
010301;AMAZONAS;BONGARA;JUMBILLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;601;607;551;527;529;533;495;463;454;473;478;489
010308;AMAZONAS;BONGARA;RECTA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;19;10;12;6;8;12;8;13;13;14;10;9
010309;AMAZONAS;BONGARA;SAN CARLOS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;37;31;27;25;21;19;22;22;29;43;36;29
010310;AMAZONAS;BONGARA;SHIPASBAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;366;366;355;331;316;321;302;313;294;308;281;269
010311;AMAZONAS;BONGARA;VALERA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;137;134;112;107;110;102;113;112;103;116;137;110
010312;AMAZONAS;BONGARA;YAMBRASBAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1764;1723;1749;1718;1757;1803;1763;1715;1732;1770;1762;1848
010102;AMAZONAS;CHACHAPOYAS;ASUNCION;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;37;39;31;27;35;27;27;27;22;19;21;18
010103;AMAZONAS;CHACHAPOYAS;BALSAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;407;416;394;388;396;384;365;374;402;421;453;416
010101;AMAZONAS;CHACHAPOYAS;CHACHAPOYAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;8650;9395;9472;9759;10359;10699;10995;11551;11924;11709;11918;12075
010104;AMAZONAS;CHACHAPOYAS;CHETO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;202;179;190;210;195;180;159;153;158;165;150;129
010105;AMAZONAS;CHACHAPOYAS;CHILIQUIN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;69;77;63;80;78;75;92;92;82;84;82;79
010106;AMAZONAS;CHACHAPOYAS;CHUQUIBAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;778;729;745;662;641;601;596;566;586;615;598;564
010107;AMAZONAS;CHACHAPOYAS;GRANADA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;181;202;163;155;161;158;141;146;136;125;122;117
010108;AMAZONAS;CHACHAPOYAS;HUANCAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;119;174;145;148;181;186;160;172;142;162;169;199
010109;AMAZONAS;CHACHAPOYAS;LA JALCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2024;1984;1933;1978;1945;1890;1873;1820;1826;1841;1800;1758
010110;AMAZONAS;CHACHAPOYAS;LEIMEBAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1167;1264;1239;1258;1245;1227;1236;1244;1157;1265;1258;1197
010111;AMAZONAS;CHACHAPOYAS;LEVANTO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;210;197;192;204;209;203;193;178;186;195;176;160
010112;AMAZONAS;CHACHAPOYAS;MAGDALENA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;205;223;227;244;251;250;246;247;233;246;246;223
010113;AMAZONAS;CHACHAPOYAS;MARISCAL CASTILLA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;246;221;224;210;207;202;181;179;170;176;183;183
010114;AMAZONAS;CHACHAPOYAS;MOLINOPAMPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;642;670;639;657;737;706;672;640;652;650;639;582
010115;AMAZONAS;CHACHAPOYAS;MONTEVIDEO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;154;159;158;149;125;124;129;121;116;123;116;117
010116;AMAZONAS;CHACHAPOYAS;OLLEROS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;29;41;43;47;45;38;35;38;38;33;34;33
010117;AMAZONAS;CHACHAPOYAS;QUINJALCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;128;130;124;121;121;95;100;112;114;110;99;76
010118;AMAZONAS;CHACHAPOYAS;SAN FRANCISCO DE DAGUAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;88;93;90;99;95;94;85;76;54;62;62;54
010119;AMAZONAS;CHACHAPOYAS;SAN ISIDRO DE MAINO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;110;254;106;117;133;141;156;150;170;171;179;179
010120;AMAZONAS;CHACHAPOYAS;SOLOCO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;308;289;293;302;296;276;230;211;217;229;217;176
010121;AMAZONAS;CHACHAPOYAS;SONCHE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;41;56;48;50;52;44;40;45;37;36;44;53
010402;AMAZONAS;CONDORCANQUI;EL CENEPA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;5074;5708;6005;6206;6329;6430;6417;6453;5934;5986;7215;7661
010401;AMAZONAS;CONDORCANQUI;NIEVA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;10147;11144;11563;11966;12508;12823;13003;13970;14115;15044;16149;17278
010403;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;5852;6528;6926;7221;7572;7794;7991;8069;8665;8845;9156;9687
010502;AMAZONAS;LUYA;CAMPORREDONDO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2242;2249;2308;2341;2369;2380;2280;2356;2368;2488;2504;2498
010503;AMAZONAS;LUYA;COCABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;690;660;669;677;685;674;659;654;641;689;707;609
010504;AMAZONAS;LUYA;COLCAMAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;594;559;514;490;473;442;438;413;405;433;443;392
010505;AMAZONAS;LUYA;CONILA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;586;602;524;511;468;446;466;451;436;447;439;396
010506;AMAZONAS;LUYA;INGUILPATA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;122;101;84;93;95;89;88;80;71;70;66;52
010501;AMAZONAS;LUYA;LAMUD;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;955;894;885;808;795;969;942;948;1036;1302;1262;2449
010507;AMAZONAS;LUYA;LONGUITA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;259;256;245;245;237;252;239;240;252;308;252;238
010508;AMAZONAS;LUYA;LONYA CHICO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;285;253;246;231;222;215;200;184;186;188;166;145
010509;AMAZONAS;LUYA;LUYA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1476;1409;1453;1472;1452;1478;1378;1373;1406;1465;1339;1302
010510;AMAZONAS;LUYA;LUYA VIEJO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;85;77;78;84;79;93;92;85;87;89;84;76
010511;AMAZONAS;LUYA;MARIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;292;243;248;245;250;242;222;232;220;221;242;223
010512;AMAZONAS;LUYA;OCALLI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1040;1074;1061;1066;1092;1097;1054;1033;1066;1086;1100;1115
010513;AMAZONAS;LUYA;OCUMAL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1395;1400;1321;1299;1246;1229;1181;1116;1126;1143;1268;1076
010514;AMAZONAS;LUYA;PISUQUIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2048;2025;1912;1914;1878;1848;1746;1660;1615;1632;1835;1522
010515;AMAZONAS;LUYA;PROVIDENCIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;484;470;500;521;524;489;459;469;467;495;467;403
010516;AMAZONAS;LUYA;SAN CRISTOBAL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;214;195;184;179;174;155;169;151;156;171;161;156
010517;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;150;144;147;146;146;150;124;140;140;136;129;126
010518;AMAZONAS;LUYA;SAN JERONIMO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;95;86;84;62;56;66;62;64;61;64;55;56
010519;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;156;174;182;172;161;140;130;130;125;136;130;122
010520;AMAZONAS;LUYA;SANTA CATALINA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;655;675;627;611;620;645;640;611;631;642;664;623
010521;AMAZONAS;LUYA;SANTO TOMAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1079;979;935;914;887;881;824;804;795;819;750;691
010522;AMAZONAS;LUYA;TINGO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;326;301;304;324;359;356;345;350;376;386;375;340
010523;AMAZONAS;LUYA;TRITA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;480;480;459;445;433;417;429;405;418;412;394;403
010602;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;696;814;629;695;699;696;721;771;831;894;922;863
010603;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;184;191;219;217;210;212;216;227;222;223;216;212
010604;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;639;616;572;597;620;595;546;531;472;521;552;443
010605;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;443;402;364;365;383;349;344;331;351;375;378;380
010606;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;418;408;376;329;323;310;290;307;300;315;326;291
010607;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;289;287;286;314;301;301;307;320;310;321;323;312
010608;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;191;176;146;140;138;123;128;120;109;114;101;101
010609;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3212;3302;3179;3269;3419;3485;3634;3495;3574;3729;3778;3298
010601;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1978;2121;1877;2032;2151;2203;2221;2273;2320;2325;2375;2335
010610;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;62;65;62;68;69;61;59;55;58;66;65;68
010611;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;59;51;43;37;34;34;32;41;35;35;31;27
010612;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;436;575;590;585;621;623;689;699;739;743;774;1123
010701;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;16155;17748;17475;17359;17527;17435;17394;17513;17373;17792;18350;17792
010702;AMAZONAS;UTCUBAMBA;CAJARURO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;7995;8084;7752;7551;7424;7150;6950;6929;6837;6992;7040;6992
010703;AMAZONAS;UTCUBAMBA;CUMBA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2819;2799;2669;2701;2738;2659;2638;2594;2577;2691;3016;2691
010704;AMAZONAS;UTCUBAMBA;EL MILAGRO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1347;1543;1547;1643;2075;2041;2072;1609;2054;1632;1676;1632
010705;AMAZONAS;UTCUBAMBA;JAMALCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2323;2577;2373;2391;2348;2244;2248;2245;2257;2287;2280;2287
010706;AMAZONAS;UTCUBAMBA;LONYA GRANDE;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;3161;3176;2892;2990;3019;3077;3077;3168;3157;3333;3425;3333
010707;AMAZONAS;UTCUBAMBA;YAMON;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1061;1110;1012;1093;1072;1016;959;923;899;904;931;904
020201;ANCASH;AIJA;AIJA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;484;760;648;619;591;577;534;500;512;534;505;491
020202;ANCASH;AIJA;CORIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;717;741;644;627;588;562;534;499;497;540;513;473
020203;ANCASH;AIJA;HUACLLAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;131;138;125;122;128;123;112;110;107;97;106;95
020204;ANCASH;AIJA;LA MERCED;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;723;857;669;633;597;559;524;557;532;545;493;454
020205;ANCASH;AIJA;SUCCHA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;222;237;207;191;173;169;164;152;153;154;141;131
020302;ANCASH;ANTONIO RAYMONDI;ACZO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;831;820;748;710;728;694;674;673;653;694;689;639
020303;ANCASH;ANTONIO RAYMONDI;CHACCHO;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;633;603;571;538;526;489;462;430;377;385;363;317
020304;ANCASH;ANTONIO RAYMONDI;CHINGAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;625;695;714;706;679;675;628;589;580;595;563;771
020301;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1315;1325;1271;1207;1258;1188;1160;1084;1117;1052;1053;1064
020305;ANCASH;ANTONIO RAYMONDI;MIRGAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2039;2017;1950;1847;1849;1810;1722;1692;1676;1660;1656;1501
020306;ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;495;479;464;445;416;394;364;361;379;360;351;348
020402;ANCASH;ASUNCION;ACOCHACA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1123;1287;1028;1005;934;912;865;875;897;855;850;724
020401;ANCASH;ASUNCION;CHACAS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;2787;2659;2575;2214;2141;2187;2193;2281;2276;2350;2233;2079
020502;ANCASH;BOLOGNESI;ABELARDO PARDO LEZAMETA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;108;102;85;79;89;78;76;65;72;74;70;62
020503;ANCASH;BOLOGNESI;ANTONIO RAYMONDI;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;281;273;240;239;250;241;245;229;245;264;278;245
020504;ANCASH;BOLOGNESI;AQUIA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;767;651;630;583;559;544;521;492;453;485;505;465
020505;ANCASH;BOLOGNESI;CAJACAY;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;508;535;471;431;422;381;356;334;374;375;370;337
020506;ANCASH;BOLOGNESI;CANIS;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;28;27;23;26;28;23;25;25;24;25;25;18
020501;ANCASH;BOLOGNESI;CHIQUIAN;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1470;1427;1505;1338;1295;1281;1245;1125;1126;1231;1177;1127
020507;ANCASH;BOLOGNESI;COLQUIOC;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;581;570;507;520;555;540;518;570;639;645;626;759
020508;ANCASH;BOLOGNESI;HUALLANCA;Número de alumnos(as) matriculados en el sistema educativo nacional;Personas;1885;2081;2121;2133;2161;2121;2106;2095;2175;2266;2539;2120
